seed,sample_id,family,persistence,pooled_delta,acf_r_lag1,acf_abs_r_lag1,oos_corr,directional_accuracy,strategy_edge,strategy_sharpe
0,real_eval,real,,0.1707801563976083,0.043022230571577696,0.10466730590703881,-0.14264523167056917,0.4709418837675351,-0.15413585448594477,-1.7532057073740062
0,iid_signs,iid_signs,,0.12615007029653183,-0.03471877686573005,0.10466730590703881,-0.08538265847375846,0.48897795591182364,-0.02549888819104059,-0.28837183115584986
0,markov_signs_p0.65,markov_signs,0.65,0.4204046980951943,0.17357747520589167,0.10466730590703881,0.14885943572742094,0.6092184368737475,0.21568668011962996,2.4676685102595495
0,markov_signs_p0.75,markov_signs,0.75,0.5743007587879234,0.24459324038752855,0.10466730590703881,0.21347171514848,0.655310621242485,0.3270929119290048,3.8028119317625686
0,markov_signs_p0.85,markov_signs,0.85,1.0767778425945946,0.3879842855964691,0.10466730590703881,0.4328098383452284,0.811623246492986,0.5954633513356272,7.435446200003886
0,markov_signs_p0.90,markov_signs,0.9,1.2688738202916943,0.430158664798264,0.10466730590703881,0.42358458124158127,0.843687374749499,0.6482971055003491,8.266610756951039
1,real_eval,real,,0.05765655778370851,-0.027485721646338633,0.2046085250775906,0.000779347628360741,0.501002004008016,-0.0035965636930174456,-0.06213624873289929
1,iid_signs,iid_signs,,0.08753807144757722,-0.01041214653741784,0.2046085250775906,-0.02326954470025975,0.4749498997995992,-0.03488718012902199,-0.6031534854472932
1,markov_signs_p0.65,markov_signs,0.65,0.2721056668958829,0.23898215151244037,0.2046085250775906,0.21106563666190306,0.6372745490981964,0.20014319528745267,3.542839441141698
1,markov_signs_p0.75,markov_signs,0.75,0.24287375781767426,0.20168164280024656,0.2046085250775906,0.2641087547141282,0.6392785571142284,0.2100852589696693,3.7282448766552747
1,markov_signs_p0.85,markov_signs,0.85,0.5386477080679133,0.46623534143929724,0.2046085250775906,0.44645398328011204,0.8376753507014028,0.46961829025915847,9.440244538295277
1,markov_signs_p0.90,markov_signs,0.9,0.6333222910196538,0.5224039322851142,0.2046085250775906,0.5441000294526039,0.9118236472945892,0.5544451906435187,12.013137336339037
2,real_eval,real,,0.11178853819918609,0.006404742168986556,0.11431692290613794,-0.001005142937019614,0.501002004008016,0.017695052909824188,0.2754383217456402
2,iid_signs,iid_signs,,0.1201498454962614,-0.0063123835255837184,0.11431692290613794,-0.11418114746181171,0.5370741482965932,0.028989728102654225,0.4514642932668404
2,markov_signs_p0.65,markov_signs,0.65,0.23282192392058546,0.16060322659981338,0.11431692290613794,0.222084947456381,0.6372745490981964,0.1595413447289133,2.5152640028613713
2,markov_signs_p0.75,markov_signs,0.75,0.43853732276106133,0.277724239526605,0.11431692290613794,0.2346392273216469,0.7054108216432866,0.294068513456191,4.777504837407178
2,markov_signs_p0.85,markov_signs,0.85,0.6339453628643259,0.40970592747875373,0.11431692290613794,0.4037622595052052,0.8076152304609219,0.4271147115948969,7.32572879060075
2,markov_signs_p0.90,markov_signs,0.9,0.8351171174155241,0.4865412618486242,0.11431692290613794,0.5428975822618777,0.875751503006012,0.5976718376553657,11.48020298155235
3,real_eval,real,,0.20759120144721463,0.0952181866461713,0.33714584924359176,0.06815356639157005,0.48697394789579157,-0.03543302137852271,-0.6616094734717973
3,iid_signs,iid_signs,,0.11930520008223025,0.04331028865790467,0.33714584924359176,0.017793009878178636,0.5170340681362725,0.03118328317643769,0.5824099628440812
3,markov_signs_p0.65,markov_signs,0.65,0.06836838106705254,-0.011363237726340373,0.33714584924359176,-0.2161025699983449,0.3907815631262525,-0.15423079142258425,-2.9279177711321998
3,markov_signs_p0.75,markov_signs,0.75,0.4231630550995215,0.24654440265682323,0.33714584924359176,0.21033860704301505,0.6733466933867736,0.207024339395242,3.990410358748197
3,markov_signs_p0.85,markov_signs,0.85,0.9019039600926998,0.464624269494386,0.33714584924359176,0.4546471404126549,0.749498997995992,0.33989218539900495,6.921934405039864
3,markov_signs_p0.90,markov_signs,0.9,1.068283910576579,0.5212259395055138,0.33714584924359176,0.583590940808633,0.8597194388777555,0.48727369002415055,11.107103779935244
4,real_eval,real,,0.5685226283209696,-0.15008037284999332,0.3846118050216271,0.13209394555536388,0.4969939879759519,-0.04637431998259594,-0.3251774294487744
4,iid_signs,iid_signs,,0.425786427267307,0.007817988617336978,0.3846118050216271,0.08901941525954181,0.5110220440881763,0.10869821677224133,0.7629052599091348
4,markov_signs_p0.65,markov_signs,0.65,0.2670765723920337,0.034111307943567766,0.3846118050216271,-0.04056637654772525,0.5511022044088176,0.01668442963288205,0.11697051290629144
4,markov_signs_p0.75,markov_signs,0.75,1.3266442779024559,0.34584369160393674,0.3846118050216271,0.318572682508014,0.5791583166332666,0.2529494370964825,1.7844997908094744
4,markov_signs_p0.85,markov_signs,0.85,1.4702828425228112,0.435609888722402,0.3846118050216271,0.398210294029635,0.8136272545090181,0.8511105907992946,6.438985534116149
4,markov_signs_p0.90,markov_signs,0.9,1.8796850931701237,0.4445078142557799,0.3846118050216271,0.4393304749653479,0.843687374749499,0.8402870193329219,6.343524163629418
5,real_eval,real,,0.1340077208820632,0.021275130420551746,0.19928377974387665,-0.07497822251831485,0.49899799599198397,-0.05693816992345933,-0.7693356262460062
5,iid_signs,iid_signs,,0.11432315170022049,-0.0014848003556958253,0.19928377974387665,0.04079112679068696,0.5130260521042084,-0.011075154162946053,-0.14946550171702502
5,markov_signs_p0.65,markov_signs,0.65,0.15706694606982768,0.10888723173530765,0.19928377974387665,0.03060570771057517,0.5571142284569138,0.13114553335085183,1.7809926990901
